,company,date,count
0,Bird,2019-05-01,1545
1,Bird,2019-05-02,1504
2,Bird,2019-05-03,1516
3,Bird,2019-05-04,1438
4,Bird,2019-05-05,1319
5,Bird,2019-05-06,1217
6,Bird,2019-05-07,1261
7,Bird,2019-05-08,1272
8,Bird,2019-05-09,1296
9,Bird,2019-05-10,1418
10,Bird,2019-05-11,1398
11,Bird,2019-05-12,1434
12,Bird,2019-05-13,1348
13,Bird,2019-05-14,1352
14,Bird,2019-05-15,1367
15,Bird,2019-05-16,1601
16,Bird,2019-05-17,1746
17,Bird,2019-05-18,1841
18,Bird,2019-05-19,1778
19,Bird,2019-05-20,1579
20,Bird,2019-05-21,1558
21,Bird,2019-05-22,1578
22,Bird,2019-05-23,1512
23,Bird,2019-05-24,1594
24,Bird,2019-05-25,1718
25,Bird,2019-05-26,1809
26,Bird,2019-05-27,1844
27,Bird,2019-05-28,1703
28,Bird,2019-05-29,1575
29,Bird,2019-05-30,1504
30,Bird,2019-05-31,1518
31,Bird,2019-06-01,1725
32,Bird,2019-06-02,1810
33,Bird,2019-06-03,1695
34,Bird,2019-06-04,1606
35,Bird,2019-06-05,1617
36,Bird,2019-06-06,1615
37,Bird,2019-06-07,1632
38,Bird,2019-06-08,1974
39,Bird,2019-06-09,1913
40,Bird,2019-06-10,1697
41,Bird,2019-06-11,1634
42,Bird,2019-06-12,1647
43,Bird,2019-06-13,1621
44,Bird,2019-06-14,1646
45,Bird,2019-06-15,1768
46,Bird,2019-06-16,1851
47,Bird,2019-06-17,1798
48,Bird,2019-06-18,1577
49,Bird,2019-06-19,1715
50,Bird,2019-06-20,1565
51,Bird,2019-06-24,1901
52,Bird,2019-06-25,1870
53,Bird,2019-06-26,1810
54,Bird,2019-06-27,1782
55,Bird,2019-06-28,1923
56,Bird,2019-06-29,2165
57,Bird,2019-06-30,2169
58,Bird,2019-07-01,1939
59,Bird,2019-07-02,1652
60,Bird,2019-07-03,1647
61,Bird,2019-07-04,1689
62,Bird,2019-07-05,1766
63,Bird,2019-07-06,1715
64,Bird,2019-07-07,1644
65,Bird,2019-07-08,1423
66,Bird,2019-07-09,1390
67,Bird,2019-07-10,1332
68,Bird,2019-07-11,1383
69,Bird,2019-07-12,1371
70,Bird,2019-07-13,1383
71,Bird,2019-07-14,1322
72,Bird,2019-07-15,1235
73,Bird,2019-07-16,1179
74,Bird,2019-07-17,1131
75,Bird,2019-07-18,1080
76,Bird,2019-07-19,1047
77,Bird,2019-07-20,1051
78,Bird,2019-07-21,941
79,Bird,2019-07-22,912
80,Bird,2019-07-23,864
81,Bird,2019-07-24,959
82,Bird,2019-07-25,928
83,Bird,2019-07-26,1137
84,Bird,2019-07-27,1207
85,Bird,2019-07-28,1171
86,Bird,2019-07-29,1104
87,Bird,2019-07-30,1062
88,Bird,2019-07-31,1106
89,Bolt,2019-05-24,311
90,Bolt,2019-05-25,317
91,Bolt,2019-05-26,310
92,Bolt,2019-05-27,310
93,Bolt,2019-05-28,315
94,Bolt,2019-05-29,323
95,Bolt,2019-05-30,321
96,Bolt,2019-05-31,322
97,Bolt,2019-06-01,310
98,Bolt,2019-06-02,292
99,Bolt,2019-06-03,300
100,Bolt,2019-06-04,312
101,Bolt,2019-06-05,311
102,Bolt,2019-06-06,305
103,Bolt,2019-06-07,303
104,Bolt,2019-06-08,295
105,Bolt,2019-06-09,231
106,Bolt,2019-06-10,265
107,Bolt,2019-06-11,279
108,Bolt,2019-06-12,288
109,Bolt,2019-06-13,284
110,Bolt,2019-06-14,276
111,Bolt,2019-06-15,283
112,Bolt,2019-06-16,280
113,Bolt,2019-06-17,275
114,Bolt,2019-06-18,282
115,Bolt,2019-06-19,281
116,Bolt,2019-06-20,276
117,Bolt,2019-06-21,280
118,Bolt,2019-06-22,264
119,Bolt,2019-06-23,265
120,Bolt,2019-06-24,234
121,Bolt,2019-06-25,252
122,Bolt,2019-06-26,247
123,Bolt,2019-06-27,246
124,Bolt,2019-06-28,243
125,Bolt,2019-06-29,238
126,Bolt,2019-06-30,237
127,Bolt,2019-07-01,226
128,Bolt,2019-07-02,223
129,Bolt,2019-07-03,228
130,Bolt,2019-07-04,224
131,Bolt,2019-07-05,222
132,Bolt,2019-07-06,233
133,Bolt,2019-07-07,242
134,Bolt,2019-07-08,232
135,Bolt,2019-07-09,225
136,Bolt,2019-07-10,215
137,Bolt,2019-07-11,212
138,Bolt,2019-07-12,209
139,Bolt,2019-07-13,166
140,Bolt,2019-07-14,182
141,Bolt,2019-07-15,181
142,Bolt,2019-07-16,178
143,Bolt,2019-07-17,171
144,Bolt,2019-07-18,174
145,Bolt,2019-07-19,174
146,Bolt,2019-07-20,173
147,Bolt,2019-07-21,161
148,Bolt,2019-07-22,159
149,Bolt,2019-07-23,141
150,Bolt,2019-07-24,145
151,Bolt,2019-07-25,146
152,Bolt,2019-07-26,146
153,Bolt,2019-07-27,144
154,Bolt,2019-07-28,139
155,Bolt,2019-07-29,138
156,Bolt,2019-07-30,133
157,Bolt,2019-07-31,169
158,Gotcha,2019-05-01,148
159,Gotcha,2019-05-02,148
160,Gotcha,2019-05-13,148
161,Gotcha,2019-05-14,148
162,Gotcha,2019-05-15,148
163,Gotcha,2019-05-16,148
164,Gotcha,2019-05-17,148
165,Gotcha,2019-05-18,148
166,Gotcha,2019-05-19,147
167,Gotcha,2019-05-20,148
168,Gotcha,2019-05-21,148
169,Gotcha,2019-05-22,148
170,Gotcha,2019-05-23,148
171,Gotcha,2019-05-24,148
172,Gotcha,2019-05-25,148
173,Gotcha,2019-05-26,148
174,Gotcha,2019-05-27,148
175,Gotcha,2019-05-28,223
176,Gotcha,2019-05-29,222
177,Gotcha,2019-05-30,222
178,Gotcha,2019-05-31,223
179,Gotcha,2019-06-01,223
180,Gotcha,2019-06-02,223
181,Gotcha,2019-06-03,223
182,Gotcha,2019-06-04,223
183,Gotcha,2019-06-05,223
184,Gotcha,2019-06-06,222
185,Gotcha,2019-06-07,222
186,Gotcha,2019-06-08,222
187,Gotcha,2019-06-09,222
188,Gotcha,2019-06-10,221
189,Gotcha,2019-06-11,222
190,Gotcha,2019-06-12,222
191,Gotcha,2019-06-13,222
192,Gotcha,2019-06-14,222
193,Gotcha,2019-06-15,221
194,Gotcha,2019-06-16,221
195,Gotcha,2019-06-17,222
196,Gotcha,2019-06-18,223
197,Gotcha,2019-06-19,223
198,Gotcha,2019-06-20,223
199,Gotcha,2019-06-21,223
200,Gotcha,2019-06-22,223
