,company,date,usage
0,Bird,2019-05-01,1104
1,Bird,2019-05-02,1221
2,Bird,2019-05-03,2010
3,Bird,2019-05-04,2741
4,Bird,2019-05-05,1987
5,Bird,2019-05-06,1499
6,Bird,2019-05-07,1144
7,Bird,2019-05-08,1161
8,Bird,2019-05-09,1015
9,Bird,2019-05-10,1640
10,Bird,2019-05-11,1977
11,Bird,2019-05-12,1751
12,Bird,2019-05-13,1193
13,Bird,2019-05-14,1238
14,Bird,2019-05-15,1070
15,Bird,2019-05-16,1267
16,Bird,2019-05-17,1796
17,Bird,2019-05-18,2775
18,Bird,2019-05-19,2389
19,Bird,2019-05-20,1443
20,Bird,2019-05-21,1173
21,Bird,2019-05-22,1093
22,Bird,2019-05-23,1204
23,Bird,2019-05-24,1751
24,Bird,2019-05-25,3475
25,Bird,2019-05-26,3965
26,Bird,2019-05-27,2860
27,Bird,2019-05-28,1470
28,Bird,2019-05-29,1128
29,Bird,2019-05-30,1249
30,Bird,2019-05-31,1672
31,Bird,2019-06-01,2622
32,Bird,2019-06-02,2734
33,Bird,2019-06-03,1684
34,Bird,2019-06-04,1328
35,Bird,2019-06-05,1523
36,Bird,2019-06-06,1685
37,Bird,2019-06-07,1398
38,Bird,2019-06-08,3956
39,Bird,2019-06-09,3435
40,Bird,2019-06-10,1863
41,Bird,2019-06-11,1531
42,Bird,2019-06-12,1594
43,Bird,2019-06-13,1633
44,Bird,2019-06-14,2090
45,Bird,2019-06-15,3273
46,Bird,2019-06-16,2771
47,Bird,2019-06-17,1609
48,Bird,2019-06-18,1032
49,Bird,2019-06-19,1463
50,Bird,2019-06-20,1129
51,Bird,2019-06-24,1094
52,Bird,2019-06-25,1481
53,Bird,2019-06-26,1393
54,Bird,2019-06-27,1417
55,Bird,2019-06-28,1889
56,Bird,2019-06-29,3794
57,Bird,2019-06-30,3595
58,Bird,2019-07-01,2116
59,Bird,2019-07-02,1146
60,Bird,2019-07-03,1114
61,Bird,2019-07-04,1805
62,Bird,2019-07-05,3199
63,Bird,2019-07-06,3204
64,Bird,2019-07-07,2130
65,Bird,2019-07-08,1057
66,Bird,2019-07-09,814
67,Bird,2019-07-10,682
68,Bird,2019-07-11,916
69,Bird,2019-07-12,1469
70,Bird,2019-07-13,2861
71,Bird,2019-07-14,1875
72,Bird,2019-07-15,1025
73,Bird,2019-07-16,834
74,Bird,2019-07-17,870
75,Bird,2019-07-18,894
76,Bird,2019-07-19,1495
77,Bird,2019-07-20,1912
78,Bird,2019-07-21,1170
79,Bird,2019-07-22,823
80,Bird,2019-07-23,756
81,Bird,2019-07-24,814
82,Bird,2019-07-25,927
83,Bird,2019-07-26,1358
84,Bird,2019-07-27,2257
85,Bird,2019-07-28,1691
86,Bird,2019-07-29,1110
87,Bird,2019-07-30,1041
88,Bird,2019-07-31,894
89,Bird,2019-08-01,9
90,Bolt Mobility,2019-05-24,540
91,Bolt Mobility,2019-05-25,953
92,Bolt Mobility,2019-05-26,1210
93,Bolt Mobility,2019-05-27,651
94,Bolt Mobility,2019-05-28,257
95,Bolt Mobility,2019-05-29,362
96,Bolt Mobility,2019-05-30,343
97,Bolt Mobility,2019-05-31,573
98,Bolt Mobility,2019-06-01,934
99,Bolt Mobility,2019-06-02,543
